x;y;cluster;age;sex;nationality;height
-0.115257648318211;0.289555823437292;1;38;F;RO;159
-0.226069897739012;0.293898393621215;1;17;F;DE;175
0.0606059327164007;0.0297344961039227;1;40;F;CH;162
0.0398616396572761;-0.37563056412847;1;32;F;HU;183
-0.21084222999711;0.592948181336414;1;18;F;HU;193
0.471058878661828;-0.305788860609088;1;45;F;RO;159
-0.258686774537904;0.692155402879212;1;20;F;BG;186
0.163138290767902;-0.313691172872308;1;37;F;BG;198
0.353116622263169;0.493583746012204;1;36;F;RO;198
0.393337839713377;0.167708252469966;1;42;F;DE;159
0.557207647156809;0.203911535203436;1;21;F;CH;168
0.947197254949114;0.296954186706846;1;29;F;HU;166
-0.174992285144404;-0.429308748341009;1;40;M;HU;196
-0.185368186702946;-0.358918938646868;1;15;M;RO;155
0.0815678496011079;-0.234466643403801;1;20;F;BG;166
0.61349711677144;0.416839637224202;1;44;F;BG;154
-0.074898466537936;-0.258362098339935;1;28;F;RO;151
0.34946139454044;0.0388726310790015;1;22;M;DE;155
-0.340839970116701;0.134723547076015;1;41;F;CH;178
0.0438737600312282;0.325720390940218;1;18;F;HU;164
0.208890907344527;0.260661315501781;1;36;M;HU;186
-0.36355109640394;0.0883706037380709;1;23;M;RO;163
-0.12185483043563;0.21496282483146;1;16;F;BG;173
-0.139413186457225;-0.33991651999013;1;22;F;BG;172
-0.0411505161977746;-0.452106804728505;1;45;F;RO;165
0.072074440332484;0.263315418963765;1;26;F;DE;178
-0.346053496316577;-0.167302989034442;1;44;M;CH;166
0.198753091963246;-0.200937969114958;1;45;M;HU;174
-0.0307933586102381;0.203770951935933;1;28;M;HU;185
-0.486525299804819;-0.0020848674094692;1;32;M;RO;194
0.158836741581712;-0.288305317330494;1;29;M;BG;186
-0.275980600432927;0.106598841767992;1;18;M;BG;187
0.243917960286266;0.0414649901731309;1;15;F;RO;198
0.160650083863083;-0.295728937887917;1;20;M;DE;152
0.0937509800258862;0.260038930317302;1;15;F;CH;186
