x;y;cluster
1;0.369499266613275;1
2;0.783307729521766;1
3;0.0627545099705458;1
4;0.205028521828353;1
5;0.915254552382976;1
6;0.410913513274863;1
7;0.0822445573285222;1
8;0.0569264616351575;1
9;0.107420541113243;1
10;0.651048393920064;1
11;0.49290304351598;1
12;0.18937272997573;1
13;0.622097300831228;1
14;0.903635943308473;1
15;0.503442981047556;1
16;0.81850135861896;1
17;0.569418465718627;1
18;0.345481527037919;1
19;0.282546845497563;1
20;0.0160876254085451;1
21;0.147623893572018;1
22;0.173818787559867;1
23;0.189326121704653;1
24;0.572339628823102;1
25;0.491005963413045;1
26;0.105753977084532;1
27;0.0560209476388991;1
28;0.679389022756368;1
29;0.485384654253721;1
30;0.417453376110643;1
31;0.658290775725618;1
32;0.884361895732582;1
33;0.0926438511814922;1
34;0.484221369959414;1
35;0.0228449241258204;1
36;0.431250278372318;1
37;0.97904719854705;1
38;0.761017727898434;1
39;0.95391419576481;1
40;0.152433428447694;1
41;0.27582605718635;1
42;0.935404615243897;1
43;0.484745360445231;1
44;0.33271334390156;1
45;0.232648437609896;1
46;0.779285611584783;1
47;0.7478534784168;1
48;0.534219563473016;1
49;0.296648072777316;1
50;0.580725516891107;1
51;0.0631400735583156;2
52;0.0765183558687568;2
53;0.0714367106556892;2
54;0.606768228579313;2
55;0.464636646443978;2
56;0.231005353387445;2
57;0.783986191963777;2
58;0.72260879445821;1
59;0.37050355412066;2
60;0.823622971773148;2
61;0.200860584387556;1
62;0.165391425136477;2
63;0.559086254099384;2
64;0.800325986696407;2
65;0.109126391587779;2
66;0.32314448361285;2
67;0.560057701775804;2
68;0.826325100380927;2
69;0.340331289917231;2
70;0.731823307694867;2
71;0.534100413089618;2
72;0.774243475403637;2
73;0.266820864984766;2
74;0.952169337077066;2
75;0.977267479058355;2
76;0.766888542100787;2
77;0.442279073642567;2
78;0.389456203673035;2
79;0.953930405899882;2
80;0.117032474838197;2
81;0.117179532302544;2
82;0.624749417416751;2
83;0.659451580839232;2
84;0.237125955987722;2
85;0.572017214028165;2
86;0.479297916870564;2
87;0.627737443661317;2
88;0.740912176202983;2
89;0.119713786523789;2
90;0.571216519689187;2
91;0.129232122795656;2
92;0.543850302696228;2
93;0.903309530811384;2
94;0.292964295484126;1
95;0.0139004944358021;2
96;0.107568780658767;2
97;0.433400574140251;2
98;0.0148337034042925;2
99;0.791783893946558;1
100;0.0803118096664548;2
